id,width,height,area
gm_01042201,3199,4383,14021217
gm_01058501,5626,5489,30881114
gm_01109801,7320,10392,76069440
gm_01141501,3720,3765,14005800
gm_01141901,3314,3238,10730732
gm_01143501,3344,4180,13977920
gm_01212301,5820,2412,14037840
gm_01234701,3440,4067,13990480
gm_01244401,5263,5289,27836007
gm_01255201,2621,2556,6699276
gm_01278901,1311,904,1185144
gm_01284901,3844,3640,13992160
gm_01287001,3745,3426,12830370
gm_01288501,2637,3357,8852409
gm_01291901,3846,3636,13984056
gm_01292001,4977,2766,13766382
gm_01292801,6241,8389,52355749
gm_01294101,5730,7197,41238810
gm_01294401,3000,4200,12600000
gm_01294901,7626,5711,43552086
gm_01315901,2902,3486,10116372
gm_01401701,5288,6510,34424880
gm_01491701,10328,7760,80145280
gm_01500101,4002,6046,24196092
gm_01500501,4523,6290,28449670
gm_01522801,3078,4100,12619800
gm_01546601,4719,11123,52489437
gm_01666401,1353,1076,1455828
gm_01667201,785,1037,814045
gm_01718901,3367,4200,14141400
gm_01751901,827,5397,4463319
gm_01870001,9003,7335,66037005
gm_01871801,2066,4895,10113070
gm_01939401,6664,8757,58356648
gm_02011001,2280,2517,5738760
gm_02024601,9473,2286,21655278
gm_02047301,3100,3100,9610000
gm_02048901,3652,2895,10572540
gm_02145601,5380,4859,26141420
gm_02200701,3650,3797,13859050
gm_02420901,2988,3879,11590452
gm_02421801,3955,3238,12806290
gm_02614801,519,1885,978315
gm_02616001,527,526,277202
gm_03071301,1131,5388,6093828
gm_03090101,2996,544,1629824
gm_03542301,5412,6691,36211692
gm_03546201,6667,7415,49435805
gm_03563701,3200,4317,13814400
gm_03662901,5445,3232,17598240
gm_03753401,742,742,550564
gm_03770401,742,742,550564
gm_03794801,5258,4522,23776676
gm_03876701,6758,1950,13178100
gm_04262901,3063,5703,17468289
gm_04276801,3780,2792,10553760
gm_04318601,2763,3540,9781020
gm_04399501,5115,6632,33922680
gm_04476101,5760,4641,26732160
gm_04560601,3873,5469,21181437
gm_04608701,3279,4264,13981656
gm_04628301,2613,4034,10540842
gm_04634601,5480,2548,13963040
gm_04635401,4584,5579,25574136
gm_04638301,4167,5301,22089267
gm_04704701,4429,6068,26875172
gm_04710701,3651,4822,17605122
